id,title,release_date,developer,publisher,genres,multiplayer_or_singleplayer,price,percent_positive,win_support,mac_support,lin_support
1,Counter-Strike: Global Offensive,21-08-2012,Valve;Hidden Path Entertainment,Valve,Action;Free to Play,Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Free to play,88%,1,1,1
2,Dota 2,09-07-2013,Valve,Valve,Action;Free to Play;Strategy,Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled,Free to play,82%,1,1,1
3,Dead by Daylight,14-06-2016,Behaviour Digital Inc.,Behaviour Digital Inc.,Action,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,749,81%,1,0,0
4,Warframe,25-03-2013,Digital Extremes,Digital Extremes,Action;Free to Play,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,Free to play,87%,1,0,0
5,War Thunder,15-08-2013,Gaijin Entertainment,Gaijin Entertainment,Action;Free to Play;Massively Multiplayer;Simulation,Single-player;MMO;Co-op;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases;Partial Controller Support,Free to play,48%,1,1,1
6,Grand Theft Auto V,13-04-2015,Rockstar North,Rockstar Games,Action;Adventure,Single-player;Multi-player;Steam Achievements;Full controller support,Free to play,78%,1,0,0
7,The Elder Scrolls® Online,22-05-2017,Zenimax Online Studios,Bethesda Softworks,Massively Multiplayer;RPG,MMO;Steam Trading Cards;Partial Controller Support,"1,599",91%,1,1,0
8,RimWorld,17-10-2018,Ludeon Studios,Ludeon Studios,Indie;Simulation;Strategy,Single-player;Steam Workshop;Steam Cloud,"1,099",83%,1,1,1
9,Rust,08-02-2018,Facepunch Studios,Facepunch Studios,Action;Adventure;Indie;Massively Multiplayer;RPG,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,"1,799",98%,1,1,0
10,Euro Truck Simulator 2,12-10-2012,SCS Software,SCS Software,Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,925,69%,1,1,1
11,Tom Clancy's Rainbow Six® Siege,01-12-2015,Ubisoft Montreal,Ubisoft,Action,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,999,97%,1,0,0
12,FINAL FANTASY XIV Online,18-02-2014,Square Enix,Square Enix,Massively Multiplayer;RPG,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support,719,77%,1,0,0
13,Cities: Skylines,10-03-2015,Colossal Order Ltd.,Paradox Interactive,Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,899,93%,1,1,1
14,Project Zomboid,08-11-2013,The Indie Stone,The Indie Stone,Indie;RPG;Simulation;Early Access,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Trading Cards;Partial Controller Support,529,57%,1,1,1
15,Team Fortress 2,10-10-2007,Valve,Valve,Action;Free to Play,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;In-App Purchases;Partial Controller Support;Valve Anti-Cheat enabled;Stats;Includes level editor;Commentary available,Free to play,88%,1,1,1
16,World of Warships,15-11-2017,Wargaming Group Limited,Wargaming Group Limited,Action;Free to Play;Massively Multiplayer;Simulation,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to play,97%,1,0,0
17,Raft,23-05-2018,Redbeet Interactive,Axolot Games,Adventure;Indie;Simulation;Early Access,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Cloud,565,93%,1,0,0
18,American Truck Simulator,02-02-2016,SCS Software,SCS Software,Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,925,89%,1,1,1
19,No Man's Sky,12-08-2016,Hello Games,Hello Games,Action;Adventure,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud,"1,799",90%,1,0,0
20,The Forest,30-04-2018,Endnight Games Ltd,Endnight Games Ltd,Action;Adventure;Indie;Simulation,Single-player;Multi-player;Co-op;Partial Controller Support;Steam Cloud,529,87%,1,0,0
21,Sid Meier’s Civilization® VI,20-10-2016,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),Strategy,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop,"2,499",76%,1,1,1
22,"Warhammer 40,000: Inquisitor - Martyr",05-06-2018,NeocoreGames,NeocoreGames,Action;Adventure;Indie;RPG,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards,"1,669",95%,1,0,0
23,Stellaris,09-05-2016,Paradox Development Studio,Paradox Interactive,Simulation;Strategy,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,"1,099",97%,1,1,1
24,The Elder Scrolls V: Skyrim Special Edition,27-10-2016,Bethesda Game Studios,Bethesda Softworks,RPG,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,"1,799",88%,1,0,0
25,theHunter: Call of the Wild™,16-02-2017,Expansive Worlds,Avalanche Studios,Adventure;Simulation;Sports,Single-player;Multi-player;Steam Achievements;Steam Cloud,529,71%,1,0,0
26,SCUM,29-08-2018,Gamepires;Croteam,Devolver Digital,Action;Adventure;Indie;Massively Multiplayer;Early Access,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards,759,93%,1,0,0
27,Stardew Valley,26-02-2016,ConcernedApe,ConcernedApe,Indie;RPG;Simulation,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,479,75%,1,1,1
28,Hearts of Iron IV,06-06-2016,Paradox Development Studio,Paradox Interactive,Simulation;Strategy,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,"1,099",92%,1,1,1
29,Terraria,16-05-2011,Re-Logic,Re-Logic,Action;Adventure;Indie;RPG,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,369,32%,1,1,1
30,Deep Rock Galactic,28-02-2018,Ghost Ship Games,Coffee Stain Publishing,Action;Indie;Early Access,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Full controller support;Steam Trading Cards;Steam Cloud,699,97%,1,0,0
31,Don't Starve Together,21-04-2016,Klei Entertainment,Klei Entertainment,Adventure;Indie;Simulation,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Full controller support;Steam Trading Cards;Steam Workshop,459,87%,1,1,1
32,Call of Duty®: Black Ops III,05-11-2015,Treyarch;Aspyr (Mac),Activision;Aspyr (Mac),Action;Adventure,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Steam Leaderboards,"3,999",79%,1,1,0
33,BeamNG.drive,29-05-2015,BeamNG,BeamNG,Racing;Simulation;Early Access,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Includes level editor,569,86%,1,0,0
34,SMITE®,08-09-2015,Titan Forge Games,Hi-Rez Studios,Action;Free to Play,Multi-player;Steam Achievements;Steam Trading Cards,Free to play,95%,1,0,0
35,DayZ,13-12-2018,Bohemia Interactive,Bohemia Interactive,Action;Adventure;Massively Multiplayer,Multi-player;Online Multi-Player;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled,"2,799",87%,1,0,0
36,Warhammer: Vermintide 2,08-03-2018,Fatshark,Fatshark,Action,Single-player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support,999,90%,1,0,0
37,X4: Foundations,30-11-2018,Egosoft,Egosoft,Action;Simulation,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,"1,999",73%,1,0,1
38,Assetto Corsa,19-12-2014,Kunos Simulazioni,Kunos Simulazioni,Indie;Racing;Simulation;Sports,Single-player;Online Multi-Player;Steam Achievements;Partial Controller Support;Steam Leaderboards;Includes level editor,529,96%,1,0,0
39,Bloons TD 6,17-12-2018,Ninja Kiwi,Ninja Kiwi,Strategy,Single-player;Steam Achievements;In-App Purchases,439,90%,1,1,0
40,Risk of Rain 2,28-03-2019,Hopoo Games,Gearbox Publishing,Action;Indie;Early Access,Single-player;Online Multi-Player;Online Co-op;Full controller support;Steam Cloud;Steam Leaderboards,719,90%,1,0,0
41,Garry's Mod,29-11-2006,Facepunch Studios,Valve,Indie;Simulation,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,399,86%,1,1,1
42,Left 4 Dead 2,19-11-2009,Valve,Valve,Action,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,480,97%,1,1,1
43,Fallout 4,09-11-2015,Bethesda Game Studios,Bethesda Softworks,RPG,Single-player;Steam Achievements;Full controller support;Steam Cloud,999,96%,1,0,0
44,The Binding of Isaac: Rebirth,04-11-2014,"Nicalis, Inc.","Nicalis, Inc.",Action,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,459,92%,1,1,1
45,PAYDAY 2,13-08-2013,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,Action;RPG,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases,399,79%,1,0,1
46,Total War: WARHAMMER II,28-09-2017,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),Action;Strategy,Single-player;Multi-player;Steam Achievements;Steam Trading Cards,"2,699",93%,1,1,1
47,The Witcher® 3: Wild Hunt,18-05-2015,CD PROJEKT RED,CD PROJEKT RED,RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,800,87%,1,0,0
48,Conan Exiles,08-05-2018,Funcom,Funcom,Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop,999,95%,1,0,0
49,Factorio,25-02-2016,Wube Software LTD.,Wube Software LTD.,Casual;Indie;Simulation;Strategy;Early Access,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Includes level editor,"1,000",89%,1,1,1
50,War Robots,04-04-2018,Pixonic,Pixonic,Action;Free to Play,Multi-player;Online Multi-Player;Steam Trading Cards;In-App Purchases,Free to play,98%,1,0,0
51,Squad,14-12-2015,Offworld Industries,Offworld Industries,Action;Indie;Strategy;Early Access,Multi-player;Online Multi-Player;Steam Trading Cards;Steam Workshop;Partial Controller Support;Valve Anti-Cheat enabled,"1,099",88%,1,0,0
52,Assassin's Creed® Odyssey,05-10-2018,Ubisoft Quebec;Ubisoft Montreal;Ubisoft Bucharest;Ubisoft Singapore;Ubisoft Montpellier;Ubisoft Kiev;Ubisoft Shanghai,Ubisoft,Action;Adventure;RPG,Single-player;Steam Achievements;Steam Trading Cards;Captions available;In-App Purchases;Partial Controller Support,"2,999",96%,1,0,0
53,Monster Hunter: World,09-08-2018,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,"2,497",79%,1,0,0
54,Beat Saber,01-05-2018,Beat Games,Beat Games,Indie;Early Access,Single-player;Steam Leaderboards,699,84%,1,0,0
55,Arma 3,12-09-2013,Bohemia Interactive,Bohemia Interactive,Action;Simulation;Strategy,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Partial Controller Support;Steam Leaderboards;Includes level editor,"1,999",89%,1,0,0
56,Among Us,16-11-2018,Innersloth,Innersloth,Casual,Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Cross-Platform Multiplayer,199,86%,1,0,0
57,VRChat,01-02-2017,VRChat Inc.,VRChat Inc.,Adventure;Casual;Free to Play;Massively Multiplayer;Simulation;Sports;Early Access,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support,Free to play,94%,1,0,0
58,Europa Universalis IV,13-08-2013,Paradox Development Studio,Paradox Interactive,Simulation;Strategy,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,"1,099",83%,1,1,1
59,Brawlhalla,17-10-2017,Blue Mammoth Games,Ubisoft,Action;Free to Play;Indie,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards,Free to play,90%,1,1,0
60,DCS World Steam Edition,02-08-2013,Eagle Dynamics SA,The Fighter Collection,Free to Play;Simulation,Single-player;Multi-player;Captions available;VR Support;Partial Controller Support;Includes level editor,Free to play,94%,1,0,0
61,Tropico 6,29-03-2019,Limbic Entertainment,Kalypso Media,Simulation;Strategy,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,"2,299",96%,1,1,1
62,Divinity: Original Sin 2 - Definitive Edition,14-09-2017,Larian Studios,Larian Studios,Adventure;RPG;Strategy,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Includes level editor,989,96%,1,1,0
63,iRacing,12-01-2015,iRacing.com Motorsport Simulations;iRacing,iRacing.com Motorsport Simulations;iRacing,Massively Multiplayer;Racing;Simulation;Sports,Single-player;Multi-player;MMO;VR Support;Partial Controller Support,369,86%,1,0,0
64,EVE Online,15-12-2010,CCP,CCP,Action;Free to Play;Massively Multiplayer;RPG;Strategy,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards,Free to play,86%,1,1,0
65,Dead Cells,06-08-2018,Motion Twin,Motion Twin,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,629,82%,1,1,1
66,Hollow Knight,24-02-2017,Team Cherry,Team Cherry,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,479,88%,1,1,1
67,Tom Clancy's Ghost Recon® Wildlands,06-03-2017,Ubisoft Paris;Ubisoft Annecy;Ubisoft Bucharest;Ubisoft Montpellier;Ubisoft Milan;Reflections;Ubisoft Belgrade,Ubisoft,Action;Adventure,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,"2,499",87%,1,0,0
68,Pummel Party,20-09-2018,Rebuilt Games,Rebuilt Games,Action;Casual;Indie,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support,459,98%,1,0,0
69,FOR HONOR™,13-02-2017,Ubisoft Montreal;Ubisoft Quebec;Ubisoft Toronto;Blue Byte,Ubisoft,Action,Single-player;Online Multi-Player;Online Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,749,89%,1,0,0
70,Subnautica,23-01-2018,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support,699,97%,1,1,0
71,Cuphead,29-09-2017,Studio MDHR Entertainment Inc.,Studio MDHR Entertainment Inc.,Action;Indie,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,565,80%,1,1,0
72,Oxygen Not Included,18-05-2017,Klei Entertainment,Klei Entertainment,Indie;Simulation;Early Access,Single-player,569,79%,1,1,1
73,Tabletop Simulator,05-06-2015,Berserk Games,Berserk Games,Casual;Indie;RPG;Simulation;Strategy,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,565,89%,1,1,1
74,Total War: WARHAMMER,24-05-2016,CREATIVE ASSEMBLY;Feral Interactive (Linux);Feral Interactive (Mac),SEGA;Feral Interactive (Linux);Feral Interactive (Mac),Action;Strategy,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop,"2,699",71%,1,1,1
75,House Flipper,17-05-2018,Empyrean,Frozen District;PlayWay S.A.,Indie;Simulation,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,569,92%,1,1,0
76,Space Engineers,28-02-2019,Keen Software House,Keen Software House,Action;Indie;Simulation;Strategy,Single-player;Multi-player;Online Multi-Player;Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,789,96%,1,0,0
77,CarX Drift Racing Online,17-11-2017,CarX Technologies,CarX Technologies,Massively Multiplayer;Racing;Simulation;Sports,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support,459,96%,1,0,0
78,Assassin's Creed® Origins,26-10-2017,Ubisoft Montreal,Ubisoft,Action;Adventure;RPG,Single-player;Steam Achievements;Steam Trading Cards;Captions available;In-App Purchases;Partial Controller Support,"3,499",95%,1,0,0
79,Dying Light,26-01-2015,Techland,Techland Publishing,Action;RPG,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,899,97%,1,1,1
80,Conqueror's Blade,01-05-2019,Booming Games,My.com,Action;Free to Play;Massively Multiplayer;RPG;Strategy,Online Multi-Player;MMO;Online Co-op;In-App Purchases,Free to play,86%,1,0,0
81,Albion Online,16-05-2018,Sandbox Interactive GmbH,Sandbox Interactive GmbH,Free to Play;Massively Multiplayer;RPG,Online Multi-Player;MMO;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases,Free to play,96%,1,1,1
82,Yu-Gi-Oh! Duel Links,16-11-2017,Konami Digital Entertainment,Konami Digital Entertainment,Free to Play;Strategy,Single-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to play,29%,1,0,0
83,Path of Exile,23-10-2013,Grinding Gear Games,Grinding Gear Games,Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to play,91%,1,1,0
84,Overcooked! 2,07-08-2018,Ghost Town Games Ltd.;Team17 Digital Ltd,Team17 Digital Ltd,Action;Casual;Indie,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,569,79%,1,1,1
85,Slay the Spire,23-01-2019,Mega Crit Games,Mega Crit Games,Indie;Strategy,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards,569,80%,1,1,1
86,This War of Mine,14-11-2014,11 bit studios,11 bit studios,Adventure;Indie;Simulation,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,598,97%,1,1,1
87,Elite Dangerous,02-04-2015,Frontier Developments,Frontier Developments,Action;Adventure;Massively Multiplayer;RPG;Simulation;Strategy,Single-player;Multi-player;MMO;Co-op;VR Support;Partial Controller Support,"1,980",97%,1,0,0
88,Assetto Corsa Competizione,12-09-2018,Kunos Simulazioni,505 Games,Racing;Simulation;Sports;Early Access,Single-player;Partial Controller Support,"2,799",92%,1,0,0
89,Green Hell,29-08-2018,Creepy Jar,Creepy Jar,Indie;Simulation;Early Access,Single-player,569,95%,1,0,0
90,Human: Fall Flat,22-07-2016,No Brakes Games,Curve Digital,Adventure;Indie,Single-player;Online Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,529,68%,1,1,0
91,Portal 2,18-04-2011,Valve,Valve,Action;Adventure,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor;Commentary available,480,98%,1,1,1
92,Shadowverse CCG,27-10-2016,"Cygames, Inc.","Cygames, Inc.;Cygames Korea Inc.",Free to Play;Strategy,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;In-App Purchases,Free to play,92%,1,1,0
93,Devil May Cry 5,07-03-2019,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Action,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"1,749",86%,1,0,0
94,Foxhole,27-07-2017,Clapfoot,Clapfoot,Action;Indie;Massively Multiplayer;RPG;Strategy;Early Access,Multi-player;Online Multi-Player;MMO,699,88%,1,0,0
95,DARK SOULS™ III,11-04-2016,"FromSoftware, Inc.","FromSoftware, Inc.;BANDAI NAMCO Entertainment",Action,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards,"4,299",86%,1,0,0
96,The Sims™ 3,27-01-2011,The Sims Studio,Electronic Arts,Simulation,Single-player,"1,199",84%,1,0,0
97,DRAGON BALL XENOVERSE 2,27-10-2016,QLOC;DIMPS,BANDAI NAMCO Entertainment,Action;Adventure;Casual;Massively Multiplayer,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,"3,284",84%,1,0,0
98,Insurgency: Sandstorm,12-12-2018,New World Interactive,Focus Home Interactive,Action,Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats,"1,299",94%,1,0,0
99,Blade and Sorcery,11-12-2018,WarpFrog,WarpFrog,Action;Adventure;Indie;RPG;Simulation;Early Access,Single-player,529,96%,1,0,0
100,ASTRONEER,05-02-2019,System Era Softworks,System Era Softworks,Adventure;Indie,Single-player;Online Co-op;Full controller support,699,70%,1,0,0
101,Northgard,07-03-2018,Shiro Games,Shiro Games,Indie;Simulation;Strategy,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud,699,84%,1,1,1
102,Grim Dawn,25-02-2016,Crate Entertainment,Crate Entertainment,Action;Adventure;Indie;RPG,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,569,78%,1,0,0
103,Star Trek Online,31-01-2012,Cryptic Studios,Perfect World Entertainment,Free to Play;Massively Multiplayer;RPG,Multi-player;MMO;Co-op;Steam Achievements;Full controller support;In-App Purchases,Free to play,88%,1,0,0
104,Stormworks: Build and Rescue,28-02-2018,Sunfire Software,Green Man Gaming Publishing,Simulation;Early Access,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Workshop;Partial Controller Support,569,91%,1,1,0
105,Crossout,26-07-2017,Targem Games,Gaijin Entertainment,Action;Free to Play;Massively Multiplayer;Racing,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases,Free to play,90%,1,0,0
106,Totally Accurate Battle Simulator,01-04-2019,Landfall,Landfall,Indie;Simulation;Strategy;Early Access,Single-player,529,75%,1,1,0
107,Fishing Planet,28-08-2017,Fishing Planet LLC,Fishing Planet LLC,Free to Play;Massively Multiplayer;Simulation;Sports,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Full controller support,Free to play,92%,1,1,1
108,Fallout: New Vegas,21-10-2010,Obsidian Entertainment,Bethesda Softworks,Action;RPG,Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards,369,78%,1,0,0
109,Total War™: ROME II - Emperor Edition,02-09-2013,CREATIVE ASSEMBLY,SEGA,Strategy,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,"2,699",80%,1,0,0
110,DARK SOULS™: REMASTERED,23-05-2018,QLOC,"FromSoftware, Inc;BANDAI NAMCO Entertainment",Action,Single-player;Multi-player;Steam Achievements;Full controller support,"1,199",96%,1,0,0
111,Governor of Poker 3,19-02-2016,Azerion;YoudaGames,Azerion;Youda Games Holding B.V.,Casual;Free to Play;Massively Multiplayer;Simulation,Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases,Free to play,83%,1,1,0
112,Paladins®,08-05-2018,Evil Mojo Games,Hi-Rez Studios,Action;Free to Play,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support,Free to play,67%,1,1,0
113,Subnautica: Below Zero,30-01-2019,Unknown Worlds Entertainment,Unknown Worlds Entertainment,Adventure;Indie;Early Access,Single-player;Partial Controller Support,"1,499",83%,1,1,0
114,Kenshi,06-12-2018,Lo-Fi Games,Lo-Fi Games,Action;Indie;RPG;Simulation;Strategy,Single-player;Steam Workshop;Includes level editor,699,85%,1,0,0
115,rFactor 2,12-11-2015,Studio 397,Studio 397,Racing;Simulation;Sports,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats,729,86%,1,0,0
116,Frostpunk,24-04-2018,11 bit studios,11 bit studios,Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,950,94%,1,1,0
117,ACE COMBAT™ 7: SKIES UNKNOWN,31-01-2019,BANDAI NAMCO Studios,BANDAI NAMCO Entertainment,Action;Simulation,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"2,499",90%,1,0,0
118,Borderlands 2,20-09-2012,Gearbox Software;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),Action;RPG,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,999,80%,1,1,1
119,Call of Duty®: Black Ops II,12-11-2012,Treyarch,Activision,Action,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards,"3,999",96%,1,0,0
120,Call of Duty®: Black Ops,08-11-2010,Treyarch,Activision,Action,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Valve Anti-Cheat enabled,"2,500",60%,1,0,0
121,TEKKEN 7,01-06-2017,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,Action;Sports,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,989,92%,1,0,0
122,DiRT Rally 2.0,25-02-2019,Codemasters,Codemasters,Racing;Simulation;Sports,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Cloud,569,82%,1,0,0
